time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,38,14,0,0
2026-04-12 00:00:00+00:00,18,11,0,0
2026-04-13 00:00:00+00:00,16,8,0,0
2026-04-14 00:00:00+00:00,19,7,0,0
2026-04-15 00:00:00+00:00,12,7,0,0
2026-04-16 00:00:00+00:00,21,7,0,0
2026-04-17 00:00:00+00:00,26,9,0,0
2026-04-18 00:00:00+00:00,31,10,0,0
2026-04-19 00:00:00+00:00,10,6,0,0
2026-04-20 00:00:00+00:00,20,7,0,0
2026-04-21 00:00:00+00:00,16,7,0,0
2026-04-22 00:00:00+00:00,40,10,0,0
2026-04-23 00:00:00+00:00,37,13,0,0
2026-04-24 00:00:00+00:00,71,28,0,0
